                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190703"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                            model_number                                 star_age                                star_mass                                time_step                                   log_dt                                    log_L                               luminosity                        luminosity_ergs_s                                 log_Teff                              effective_T                                    log_R                                   radius                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                              num_retries                              num_backups 
                                    6111                  1.2516458569516787E+010                  5.1100832378335248E-001                  3.6697908805618943E+002                  2.5646413171115969E+000                  3.0169839052121694E+000                  1.0398816274985211E+003                  3.9950172365238182E+036                  3.6932445996889434E+000                  4.9345164339476587E+003                  1.6452615896808243E+000                  4.4183649970253761E+001                  8.5579414844007651E-001                  1.7895470005375385E+010                  2.8913413960038652E-015                  1.5387342581175821E-006                  1.8790680142720775E-009                  8.8097857221765769E-008                  4.6884047023728876E+001                  1.8790680142720775E-009                  1.2794758900559550E-002                                        9                                        0 
                                    6112                  1.2516459009891693E+010                  5.1097764041428062E-001                  4.4037490566742724E+002                  2.6438225631592216E+000                  3.0169148439062923E+000                  1.0397162791544656E+003                  3.9943820012556257E+036                  3.7003501514209640E+000                  5.0159148050039084E+003                  1.6310159555638437E+000                  4.2757859469159769E+001                  8.8425933878579877E-001                  1.3811230779988684E+010                  2.3802529548043864E-015                  1.6139519429813127E-006                  1.4748180503111774E-009                  7.0221811895069901E-008                  4.7614098056228947E+001                  1.4748180503111774E-009                  1.4090817662800875E-002                                        9                                        0 
                                    6113                  1.2516459538341581E+010                  5.1094202287020174E-001                  5.2844988680091262E+002                  2.7230038092068463E+000                  3.0168169892668932E+000                  1.0394820380931692E+003                  3.9934820939463370E+036                  3.7093667661501817E+000                  5.1211413862190902E+003                  1.6129337987857095E+000                  4.1014157872895986E+001                  9.2039337891957718E-001                  1.2081682385880402E+010                  2.2607127437502241E-015                  1.7150395931199029E-006                  1.3181852670138166E-009                  6.4007498327943938E-008                  4.8557479943088993E+001                  1.3181852670138168E-009                  1.5888469218699516E-002                                        9                                        0 
                                    6114                  1.2516460172481445E+010                  5.1090105014555043E-001                  6.3413986416109515E+002                  2.8021850552544714E+000                  3.0166964273655106E+000                  1.0391935137327184E+003                  3.9923736410583572E+036                  3.7207504459027003E+000                  5.2571509341434266E+003                  1.5901061583299816E+000                  3.8914025426394943E+001                  9.6601383211882541E-001                  1.1505538300830200E+010                  2.3890883419921982E-015                  1.8515693387603175E-006                  1.2903181878797609E-009                  6.4211700065641126E-008                  4.9764412199567467E+001                  1.2903181878797609E-009                  1.8702905316332417E-002                                        9                                        0 
                                    6115                  1.2516460511196953E+010                  5.1088030200802081E-001                  3.3871550848726480E+002                  2.5298350817826543E+000                  3.0166201389686020E+000                  1.0390109844860715E+003                  3.9916724001985892E+036                  3.7274934084240217E+000                  5.3394116953269640E+003                  1.5765820890888842E+000                  3.7720903723643559E+001                  9.9304433316494611E-001                  9.7943921423582726E+009                  2.1639175522586258E-015                  1.9366978352618419E-006                  1.1173349821430500E-009                  5.6383716796209481E-008                  5.0462855506597442E+001                  1.1173349821430500E-009                  2.1739005876777680E-002                                       10                                        0 
                                    6116                  1.2516460714426258E+010                  5.1086824113602725E-001                  2.0322930509235891E+002                  2.3079863321662977E+000                  3.0165683820826974E+000                  1.0388871681103637E+003                  3.9911967224463954E+036                  3.7316307980588257E+000                  5.3905216924320493E+003                  1.5682814313763234E+000                  3.7006791339101596E+001                  1.0096353956365616E+000                  8.5143250901919909E+009                  1.9540804300143280E-015                  1.9899995936098249E-006                  9.8196041561838480E-010                  4.9956378055485359E-008                  5.0874303081128176E+001                  9.8196041561838480E-010                  2.4440803025128462E-002                                       11                                        0 
                                    6117                  1.2516460958301424E+010                  5.1085404730665529E-001                  2.4387516611083066E+002                  2.3871675782139228E+000                  3.0165007625065661E+000                  1.0387254261489079E+003                  3.9905753421788743E+036                  3.7365895679528203E+000                  5.4524233369137337E+003                  1.5583300818002697E+000                  3.6168465352243111E+001                  1.0295260282969354E+000                  7.5039842203946733E+009                  1.8024640178663712E-015                  2.0567561395019693E-006                  8.7637144561848850E-010                  4.5042645361557090E-008                  5.1396925620913429E+001                  8.7637144561848829E-010                  2.6688989480452702E-002                                       11                                        0 
                                    6118                  1.2516461104626524E+010                  5.1084572800839689E-001                  1.4632509966649840E+002                  2.1653188285975662E+000                  3.0164598078477094E+000                  1.0386274773112320E+003                  3.9901990423342907E+036                  3.7397613397506992E+000                  5.4923896458350710E+003                  1.5519660608750818E+000                  3.5642327867017556E+001                  1.0422469975699957E+000                  7.5280463889626226E+009                  1.8620052436349915E-015                  2.0994996257403625E-006                  8.8688948656512612E-010                  4.5853895436201299E-008                  5.1702101803505379E+001                  8.8688948656512633E-010                  2.9403386165069833E-002                                       12                                        0 
                                    6119                  1.2516461280216644E+010                  5.1083589300956889E-001                  1.7559011959979807E+002                  2.2445000746451909E+000                  3.0164088767795336E+000                  1.0385056813699962E+003                  3.9897311266872510E+036                  3.7435201597064629E+000                  5.5401326032678444E+003                  1.5444229554294671E+000                  3.5028614143942150E+001                  1.0573248471760011E+000                  6.7557319367250948E+009                  1.7298080190654148E-015                  2.1516344984791901E-006                  8.0395875647582599E-010                  4.1867768006273987E-008                  5.2077184060032046E+001                  8.0395875647582599E-010                  3.2140810248590126E-002                                       12                                        0 
                                    6120                  1.2516461490924786E+010                  5.1082429856554734E-001                  2.1070814351975770E+002                  2.3236813206928160E+000                  3.0163453746853159E+000                  1.0383538432342746E+003                  3.9891477949374357E+036                  3.7481554990736310E+000                  5.5995805850441566E+003                  1.5351205256480227E+000                  3.4286292485548842E+001                  1.0759198494436739E+000                  6.8138384344635019E+009                  1.8208453515579345E-015                  2.2176798956962894E-006                  8.2106692738829138E-010                  4.3139697961597939E-008                  5.2541200619028253E+001                  8.2106692738829138E-010                  3.5618127144430092E-002                                       12                                        0 
                                    6121                  1.2516461617349672E+010                  5.1081749252787578E-001                  1.2642488611185460E+002                  2.1018325710764594E+000                  3.0163082219634960E+000                  1.0382650186623878E+003                  3.9888065486971608E+036                  3.7509813874189972E+000                  5.6361350049549501E+003                  1.5294501725963807E+000                  3.3841544261354485E+001                  1.0872547691262571E+000                  6.6372898824840584E+009                  1.8204515998718866E-015                  2.2573915662927205E-006                  8.0644858213342487E-010                  4.2572543049676196E-008                  5.2790331759372769E+001                  8.0644858213342487E-010                  3.9029762366511664E-002                                       13                                        0 
